qseqid	sseqid	pident	length	evalue	bitscore
sp|O14964|HGS_HUMAN	sp|P40343|VPS27_YEAST	28.194	227	1.5200000000000002e-27	116.0
sp|O14965|AURKA_HUMAN	sp|P38991|AURK_YEAST	43.598	328	1.55e-84	260.0
sp|O14975|S27A2_HUMAN	sp|P38225|FAT1_YEAST	33.275	574	2.6e-91	294.0
sp|O14980|XPO1_HUMAN	sp|P30822|XPO1_YEAST	46.994	1081	0.0	1031.0
sp|O14981|BTAF1_HUMAN	sp|P32333|BTAF1_YEAST	36.626	1974	0.0	1175.0
sp|O15047|SET1A_HUMAN	sp|P38827|SET1_YEAST	55.376	186	4.2e-59	221.0
sp|O15067|PUR4_HUMAN	sp|P38972|PUR4_YEAST	35.464	1314	0.0	687.0
sp|O15116|LSM1_HUMAN	sp|P47017|LSM1_YEAST	54.762	84	3.28e-27	97.4
sp|O15118|NPC1_HUMAN	sp|Q12200|NPC1_YEAST	32.237	1247	2.11e-167	528.0
sp|O15144|ARPC2_HUMAN	sp|P53731|ARPC2_YEAST	37.5	320	2.5099999999999998e-52	173.0
sp|O15145|ARPC3_HUMAN	sp|Q05933|ARPC3_YEAST	46.067	178	2.76e-56	173.0
sp|O15155|BET1_HUMAN	sp|P22804|BET1_YEAST	24.272	103	9.96e-09	48.1
sp|O15160|RPAC1_HUMAN	sp|P07703|RPAC1_YEAST	46.154	325	3.59e-107	315.0
sp|O15162|PLS1_HUMAN	sp|P47140|AIM25_YEAST	21.577	241	5.1e-14	69.7
sp|O15182|CETN3_HUMAN	sp|P06704|CDC31_YEAST	61.806	144	1.67e-58	177.0
sp|O15194|CTDSL_HUMAN	sp|Q07800|PSR1_YEAST	57.803	173	4.48e-70	220.0
sp|O15212|PFD6_HUMAN	sp|P52553|PFD6_YEAST	42.982	114	4.6e-22	82.4
sp|O15213|WDR46_HUMAN	sp|P40055|UTP7_YEAST	40.994	483	2.6000000000000003e-123	374.0
sp|O15229|KMO_HUMAN	sp|P38169|KMO_YEAST	38.009	442	2.35e-93	289.0
sp|O15235|RT12_HUMAN	sp|P53732|RT12_YEAST	54.701	117	2.0300000000000002e-32	110.0
sp|O15258|RER1_HUMAN	sp|P25560|RER1_YEAST	50.955	157	3.69e-62	189.0
sp|O15260|SURF4_HUMAN	sp|P53337|ERV29_YEAST	35.887	248	3.01e-42	144.0
sp|O15269|SPTC1_HUMAN	sp|P25045|SPTC1_YEAST	33.203	512	2.8e-87	276.0
sp|O15270|SPTC2_HUMAN	sp|P40970|LCB2_YEAST	48.073	493	1.1200000000000001e-166	483.0
sp|O15305|PMM2_HUMAN	sp|P07283|PMM_YEAST	59.583	240	9.22e-99	286.0
sp|O15370|SOX12_HUMAN	sp|P25042|ROX1_YEAST	40.26	77	1.7e-11	62.4
sp|O15381|NVL_HUMAN	sp|Q07844|RIX7_YEAST	49.76	625	0.0	617.0
sp|O15431|COPT1_HUMAN	sp|P38865|CTR2_YEAST	30.387	181	3.48e-13	63.2
sp|O15457|MSH4_HUMAN	sp|P40965|MSH4_YEAST	32.1	757	1.79e-100	332.0
sp|O15488|GLYG2_HUMAN	sp|P36143|GLG1_YEAST	32.8	250	1.0299999999999999e-30	124.0
sp|O15498|YKT6_HUMAN	sp|P36015|YKT6_YEAST	47.0	200	5.57e-65	197.0
sp|O15514|RPB4_HUMAN	sp|P20433|RPB4_YEAST	45.07	71	1.4e-15	68.6
sp|O15523|DDX3Y_HUMAN	sp|P24784|DBP1_YEAST	48.653	668	0.0	580.0
sp|O15527|OGG1_HUMAN	sp|P53397|OGG1_YEAST	36.747	332	1.7600000000000001e-59	194.0
sp|O15530|PDPK1_HUMAN	sp|Q12236|PKH2_YEAST	45.973	298	2.35e-86	287.0
sp|O15539|RGS5_HUMAN	sp|Q99188|RGS2_YEAST	27.826	115	6.82e-07	46.2
sp|O15541|R113A_HUMAN	sp|P53769|CWC24_YEAST	42.857	140	5.5799999999999996e-42	145.0
sp|O15550|KDM6A_HUMAN	sp|P14922|CYC8_YEAST	35.588	340	2.7499999999999996e-48	186.0
sp|O43143|DHX15_HUMAN	sp|P53131|PRP43_YEAST	65.689	682	0.0	907.0
sp|O43148|MCES_HUMAN	sp|P32783|MCES_YEAST	36.162	271	4.18e-40	147.0
sp|O43159|RRP8_HUMAN	sp|P38961|RRP8_YEAST	33.718	347	1.47e-46	163.0
sp|O43164|PJA2_HUMAN	sp|P38239|YBR2_YEAST	48.889	45	5.04e-09	54.3
sp|O43169|CYB5B_HUMAN	sp|P40312|CYB5_YEAST	38.596	114	1.1199999999999999e-23	87.4
sp|O43172|PRP4_HUMAN	sp|P20053|PRP4_YEAST	33.626	455	2.66e-79	254.0
sp|O43175|SERA_HUMAN	sp|P40054|SERA_YEAST	34.259	324	2.33e-55	191.0
sp|O43196|MSH5_HUMAN	sp|Q12175|MSH5_YEAST	29.231	650	1.06e-68	243.0
sp|O43242|PSMD3_HUMAN	sp|P40016|RPN3_YEAST	31.599	519	8.78e-85	270.0
sp|O43246|CTR4_HUMAN	sp|P06775|HIP1_YEAST	23.389	419	5.68e-11	63.2
sp|O43252|PAPS1_HUMAN	sp|Q02196|KAPS_YEAST	58.857	175	1.4599999999999999e-67	217.0
sp|O43272|PROD_HUMAN	sp|P09368|PUT1_YEAST	30.769	273	8.77e-19	87.4
sp|O43280|TREA_HUMAN	sp|P35172|TREB_YEAST	27.966	472	2.61e-28	118.0
sp|O43290|SNUT1_HUMAN	sp|Q12420|SNU66_YEAST	52.273	44	1.09e-07	53.1
sp|O43292|GPAA1_HUMAN	sp|P39012|GAA1_YEAST	28.096	541	6.95e-44	164.0
sp|O43294|TGFI1_HUMAN	sp|P35688|LRG1_YEAST	31.677	161	7.86e-20	90.9
sp|O43304|S14L5_HUMAN	sp|P24280|SEC14_YEAST	30.859	256	1.84e-30	120.0
sp|O43347|MSI1H_HUMAN	sp|Q99383|HRP1_YEAST	46.591	176	5.81e-51	176.0
sp|O43395|PRPF3_HUMAN	sp|Q03338|PRP3_YEAST	27.638	398	3e-28	116.0
sp|O43426|SYNJ1_HUMAN	sp|P50942|INP52_YEAST	34.568	810	6.739999999999999e-134	444.0
sp|O43432|IF4G3_HUMAN	sp|P39936|IF4F2_YEAST	36.77	291	2.64e-35	144.0
sp|O43513|MED7_HUMAN	sp|Q08278|MED7_YEAST	35.333	150	8.9e-13	63.5
sp|O43583|DENR_HUMAN	sp|P47089|DENR_YEAST	34.81	158	9.150000000000001e-27	99.4
sp|O43592|XPOT_HUMAN	sp|P33418|XPOT_YEAST	19.364	1100	1.6799999999999999e-40	160.0
sp|O43615|TIM44_HUMAN	sp|Q01852|TIM44_YEAST	27.073	410	1.28e-34	132.0
sp|O43617|TPPC3_HUMAN	sp|P36149|BET3_YEAST	56.069	173	5.53e-68	203.0
sp|O43633|CHM2A_HUMAN	sp|P36108|DID4_YEAST	43.172	227	7.55e-58	181.0
sp|O43660|PLRG1_HUMAN	sp|Q12417|PRP46_YEAST	50.151	331	6.42e-125	370.0
sp|O43681|GET3_HUMAN	sp|Q12154|GET3_YEAST	46.491	342	9.63e-92	276.0
sp|O43683|BUB1_HUMAN	sp|P41695|BUB1_YEAST	30.831	373	6.18e-45	174.0
sp|O43709|BUD23_HUMAN	sp|P25627|BUD23_YEAST	49.286	280	2.33e-86	257.0
sp|O43715|TRIA1_HUMAN	sp|O60200|MDM35_YEAST	43.636	55	1.18e-12	55.5
sp|O43719|HTSF1_HUMAN	sp|P53830|CUS2_YEAST	30.702	228	2.3400000000000003e-21	93.2
sp|O43731|ERD23_HUMAN	sp|P18414|ERD2_YEAST	48.165	218	2.05e-67	204.0
sp|O43741|AAKB2_HUMAN	sp|P34164|SIP2_YEAST	32.258	248	3.58e-27	107.0
sp|O43747|AP1G1_HUMAN	sp|Q12028|AP1G1_YEAST	31.257	851	3.34e-92	306.0
sp|O43765|SGTA_HUMAN	sp|Q12118|SGT2_YEAST	30.448	335	7.12e-34	125.0
sp|O43766|LIAS_HUMAN	sp|P32875|LIPA_YEAST	58.806	335	1.38e-138	399.0
sp|O43772|MCAT_HUMAN	sp|Q12289|CRC1_YEAST	33.793	290	5.51e-50	166.0
sp|O43776|SYNC_HUMAN	sp|P38707|SYNC_YEAST	51.337	561	0.0	573.0
sp|O43818|U3IP2_HUMAN	sp|Q06506|RRP9_YEAST	26.64	503	3.21e-59	202.0
sp|O43861|ATP9B_HUMAN	sp|P40527|ATC7_YEAST	50.097	1030	0.0	996.0
sp|O43913|ORC5_HUMAN	sp|P50874|ORC5_YEAST	22.857	490	1.6e-14	73.2
sp|O43929|ORC4_HUMAN	sp|P54791|ORC4_YEAST	28.653	349	5.12e-31	122.0
sp|O43933|PEX1_HUMAN	sp|P24004|PEX1_YEAST	37.766	564	8.269999999999999e-106	357.0
sp|O60216|RAD21_HUMAN	sp|Q12158|SCC1_YEAST	32.967	91	1.52e-10	62.0
sp|O60220|TIM8A_HUMAN	sp|P57744|TIM8_YEAST	37.209	86	6.75e-15	62.0
sp|O60244|MED14_HUMAN	sp|P19263|MED14_YEAST	22.515	342	1.07e-09	61.2
sp|O60294|TYW4_HUMAN	sp|Q08282|TYW4_YEAST	26.964	471	2.19e-39	152.0
sp|O60318|GANP_HUMAN	sp|P46674|SAC3_YEAST	23.49	745	8.33e-33	137.0
sp|O60331|PI51C_HUMAN	sp|P38994|ITS3_YEAST	34.574	376	8.92e-55	198.0
sp|O60337|MARH6_HUMAN	sp|P40318|DOA10_YEAST	29.545	132	4.8e-16	81.3
sp|O60346|PHLP1_HUMAN	sp|P08678|CYAA_YEAST	23.303	884	1.04e-41	166.0
sp|O60447|EVI5_HUMAN	sp|Q12344|GYP5_YEAST	29.167	480	1.3900000000000001e-49	186.0
sp|O60488|ACSL4_HUMAN	sp|P47912|LCF4_YEAST	32.186	668	5.9500000000000004e-99	317.0
sp|O60493|SNX3_HUMAN	sp|Q08826|SNX3_YEAST	44.681	141	7.93e-28	99.8
sp|O60508|PRP17_HUMAN	sp|P40968|PRP17_YEAST	37.164	409	8.17e-90	283.0
sp|O60524|NEMF_HUMAN	sp|Q12532|RQC2_YEAST	30.194	722	1.29e-85	297.0
sp|O60566|BUB1B_HUMAN	sp|P47074|MAD3_YEAST	36.0	175	3.1500000000000004e-21	96.7
sp|O60641|AP180_HUMAN	sp|P53309|AP18B_YEAST	29.078	282	1.16e-27	116.0
sp|O60645|EXOC3_HUMAN	sp|P32844|SEC6_YEAST	24.731	465	9e-16	79.3
sp|O60673|REV3L_HUMAN	sp|P14284|DPOZ_YEAST	39.749	878	0.0	631.0
sp|O60683|PEX10_HUMAN	sp|Q05568|PEX10_YEAST	23.714	350	2.49e-26	104.0
sp|O60684|IMA7_HUMAN	sp|Q02821|IMA1_YEAST	53.62	511	0.0	532.0
sp|O60725|ICMT_HUMAN	sp|P32584|STE14_YEAST	41.071	224	9.64e-53	170.0
sp|O60762|DPM1_HUMAN	sp|P14020|DPM1_YEAST	32.773	238	1.52e-30	112.0
sp|O60763|USO1_HUMAN	sp|P25386|USO1_YEAST	23.781	677	6.08e-47	181.0
sp|O60774|FMO6_HUMAN	sp|P38866|FMO1_YEAST	34.518	197	9.16e-26	107.0
sp|O60783|RT14_HUMAN	sp|P10663|RT02_YEAST	30.097	103	3.52e-09	49.3
sp|O60825|F262_HUMAN	sp|P32604|F26_YEAST	48.792	414	5.1799999999999995e-142	414.0
sp|O60830|TI17B_HUMAN	sp|P39515|TIM17_YEAST	49.351	154	3.3599999999999997e-46	147.0
sp|O60832|DKC1_HUMAN	sp|P33322|CBF5_YEAST	71.615	384	0.0	602.0
sp|O60841|IF2P_HUMAN	sp|P39730|IF2P_YEAST	51.98	606	0.0	634.0
sp|O60861|GAS7_HUMAN	sp|Q05080|CYK2_YEAST	22.776	281	5.53e-09	56.2
sp|O60869|EDF1_HUMAN	sp|O14467|MBF1_YEAST	45.139	144	5.96e-37	122.0
sp|O60870|KIN17_HUMAN	sp|P40962|RTS2_YEAST	41.86	129	1.4099999999999999e-30	115.0
sp|O60884|DNJA2_HUMAN	sp|P25491|MAS5_YEAST	47.867	422	3.64e-124	363.0
sp|O60906|NSMA_HUMAN	sp|P40015|ISC1_YEAST	25.293	427	8.93e-34	129.0
sp|O60930|RNH1_HUMAN	sp|Q04740|RNH1_YEAST	52.174	46	7.66e-11	59.7
sp|O60931|CTNS_HUMAN	sp|P17261|ERS1_YEAST	31.034	261	6.299999999999999e-23	94.7
sp|O60942|MCE1_HUMAN	sp|Q01159|MCE1_YEAST	28.841	371	2.37e-19	89.0
sp|O75027|ABCB7_HUMAN	sp|P40416|ATM1_YEAST	50.084	595	0.0	602.0
sp|O75030|MITF_HUMAN	sp|P38165|RTG3_YEAST	38.043	92	2.44e-07	51.2
sp|O75061|AUXI_HUMAN	sp|Q06677|SWA2_YEAST	37.391	115	2.49e-11	65.5
sp|O75083|WDR1_HUMAN	sp|P46680|AIP1_YEAST	28.906	640	3.07e-75	249.0
sp|O75140|DEPD5_HUMAN	sp|P47170|IML1_YEAST	27.83	424	2.99e-46	181.0
sp|O75146|HIP1R_HUMAN	sp|P33338|SLA2_YEAST	27.021	433	2.12e-26	114.0
sp|O75150|BRE1B_HUMAN	sp|Q07457|BRE1_YEAST	24.86	358	2.91e-16	81.6
sp|O75153|CLU_HUMAN	sp|Q03690|CLU_YEAST	26.187	611	3.8699999999999996e-42	166.0
sp|O75175|CNOT3_HUMAN	sp|P06102|NOT3_YEAST	40.87	230	8.8e-49	182.0
sp|O75191|XYLB_HUMAN	sp|P42826|XKS1_YEAST	32.965	543	2.8e-95	300.0
sp|O75208|COQ9_HUMAN	sp|Q05779|COQ9_YEAST	25.888	197	2.44e-13	67.0
sp|O75312|ZPR1_HUMAN	sp|P53303|ZPR1_YEAST	46.239	452	4.8200000000000005e-129	380.0
sp|O75340|PDCD6_HUMAN	sp|P53238|PEF1_YEAST	27.108	166	1.05e-16	74.7
sp|O75347|TBCA_HUMAN	sp|P48606|TBCA_YEAST	29.67	91	2.96e-08	45.8
sp|O75348|VATG1_HUMAN	sp|P48836|VATG_YEAST	37.838	111	6.71e-14	61.2
sp|O75351|VPS4B_HUMAN	sp|P52917|VPS4_YEAST	60.356	449	0.0	528.0
sp|O75354|ENTP6_HUMAN	sp|P32621|GDA1_YEAST	33.489	427	8.4e-53	184.0
sp|O75379|VAMP4_HUMAN	sp|P33328|SNC2_YEAST	34.286	70	6.16e-14	62.0
sp|O75381|PEX14_HUMAN	sp|P53112|PEX14_YEAST	26.21	248	5.19e-19	85.1
sp|O75390|CISY_HUMAN	sp|P00890|CISY1_YEAST	61.623	456	0.0	602.0
sp|O75394|RM33_HUMAN	sp|P36533|RM39_YEAST	40.385	52	1.41e-06	39.3
sp|O75396|SC22B_HUMAN	sp|P22214|SEC22_YEAST	38.356	219	1.01e-49	159.0
sp|O75400|PR40A_HUMAN	sp|P33203|PRP40_YEAST	24.311	399	1.93e-24	107.0
sp|O75419|CDC45_HUMAN	sp|Q08032|CDC45_YEAST	24.962	653	1.8999999999999998e-42	159.0
sp|O75420|GGYF1_HUMAN	sp|P32909|SMY2_YEAST	38.806	67	7.88e-09	57.4
sp|O75439|MPPB_HUMAN	sp|P10507|MPPB_YEAST	45.147	443	6.76e-135	395.0
sp|O75460|ERN1_HUMAN	sp|P32361|IRE1_YEAST	41.648	437	6.11e-99	334.0
sp|O75478|TAD2A_HUMAN	sp|Q02336|ADA2_YEAST	29.279	444	1.0800000000000001e-58	196.0
sp|O75486|SUPT3_HUMAN	sp|P06844|SPT3_YEAST	27.961	304	9.71e-28	108.0
sp|O75521|ECI2_HUMAN	sp|Q08558|DCI1_YEAST	28.511	235	7.09e-16	75.1
sp|O75529|TAF5L_HUMAN	sp|P38129|TAF5_YEAST	39.216	357	2.23e-80	267.0
sp|O75533|SF3B1_HUMAN	sp|P49955|SF3B1_YEAST	53.475	849	0.0	940.0
sp|O75575|RPC9_HUMAN	sp|P47076|RPC9_YEAST	30.818	159	2.43e-13	61.6
sp|O75586|MED6_HUMAN	sp|P38782|MED6_YEAST	28.141	199	9.65e-20	84.0
sp|O75643|U520_HUMAN	sp|P32639|BRR2_YEAST	39.542	2185	0.0	1533.0
sp|O75648|MTU1_HUMAN	sp|Q12093|MTU1_YEAST	31.172	401	6.75e-50	172.0
sp|O75663|TIPRL_HUMAN	sp|Q12199|TIP41_YEAST	35.632	261	6.27e-38	134.0
sp|O75688|PPM1B_HUMAN	sp|P39966|PP2C2_YEAST	33.66	306	1.75e-49	174.0
sp|O75691|UTP20_HUMAN	sp|P35194|UTP20_YEAST	22.682	2125	3.6099999999999997e-113	402.0
sp|O75694|NU155_HUMAN	sp|P40064|NU157_YEAST	21.257	1289	1.25e-44	175.0
sp|O75716|STK16_HUMAN	sp|Q12003|ENV7_YEAST	29.794	339	3.22e-53	176.0
sp|O75717|WDHD1_HUMAN	sp|Q01454|CTF4_YEAST	21.884	722	8.72e-20	93.6
sp|O75792|RNH2A_HUMAN	sp|P53942|RNH2A_YEAST	40.909	264	4.03e-51	169.0
sp|O75794|CD123_HUMAN	sp|Q05791|CD123_YEAST	35.273	275	4.0799999999999994e-54	179.0
sp|O75821|EIF3G_HUMAN	sp|Q04067|EIF3G_YEAST	33.455	275	1.15e-40	141.0
sp|O75832|PSD10_HUMAN	sp|P50086|PSD10_YEAST	35.714	210	5.24e-32	114.0
sp|O75844|FACE1_HUMAN	sp|P47154|STE24_YEAST	35.332	467	8.15e-77	245.0
sp|O75845|SC5D_HUMAN	sp|P32353|ERG3_YEAST	45.848	277	1.2e-85	259.0
sp|O75874|IDHC_HUMAN	sp|P21954|IDHP_YEAST	67.082	401	0.0	552.0
sp|O75879|GATB_HUMAN	sp|P33893|GATB_YEAST	31.211	487	5.999999999999999e-60	206.0
sp|O75880|SCO1_HUMAN	sp|P23833|SCO1_YEAST	39.901	203	1.21e-49	164.0
sp|O75886|STAM2_HUMAN	sp|P38753|HSE1_YEAST	27.652	264	6.97e-29	117.0
sp|O75907|DGAT1_HUMAN	sp|P53629|ARE2_YEAST	30.83	253	2.01e-31	125.0
sp|O75943|RAD17_HUMAN	sp|P32641|RAD24_YEAST	27.632	304	4.99e-18	86.3
sp|O75947|ATP5H_HUMAN	sp|P30902|ATP7_YEAST	23.448	145	1.5e-07	46.6
sp|O76003|GLRX3_HUMAN	sp|P32642|GLRX4_YEAST	39.738	229	1.14e-53	174.0
sp|O76021|RL1D1_HUMAN	sp|P36144|RL1D1_YEAST	28.061	196	3.97e-08	52.4
sp|O76031|CLPX_HUMAN	sp|P38323|CLPX_YEAST	39.076	476	4.13e-93	295.0
sp|O76071|CIAO1_HUMAN	sp|Q05583|CIAO1_YEAST	42.271	317	1.11e-78	241.0
sp|O76083|PDE9A_HUMAN	sp|P06776|PDE2_YEAST	34.211	190	1.15e-18	87.4
sp|O77932|DXO_HUMAN	sp|P53063|DXO_YEAST	26.144	306	1.59e-15	75.5
sp|O94808|GFPT2_HUMAN	sp|P14742|GFA1_YEAST	55.54	722	0.0	794.0
sp|O94817|ATG12_HUMAN	sp|P38316|ATG12_YEAST	31.818	88	3.48e-12	58.9
sp|O94822|LTN1_HUMAN	sp|Q04781|LTN1_YEAST	31.864	295	5.73e-46	180.0
sp|O94826|TOM70_HUMAN	sp|P07213|TOM70_YEAST	24.638	552	1.56e-33	133.0
sp|O94886|TM63A_HUMAN	sp|Q06538|CSC1_YEAST	19.731	669	2.92e-13	71.6
sp|O94888|UBXN7_HUMAN	sp|Q06682|UBX5_YEAST	42.52	127	3.4499999999999996e-30	121.0
sp|O94903|PLPHP_HUMAN	sp|P38197|PLPHP_YEAST	43.981	216	9.88e-45	150.0
sp|O94906|PRP6_HUMAN	sp|P19735|PRP6_YEAST	27.083	960	7.19e-100	331.0
sp|O94913|PCF11_HUMAN	sp|P39081|PCF11_YEAST	41.121	107	1.05e-16	83.6
sp|O94915|FRYL_HUMAN	sp|P40468|TAO3_YEAST	26.616	263	4.4e-23	106.0
sp|O94973|AP2A2_HUMAN	sp|P38065|AP2A_YEAST	27.051	1024	1.66e-79	277.0
sp|O94979|SC31A_HUMAN	sp|P38968|SEC31_YEAST	26.518	807	9.66e-75	270.0
sp|O95067|CCNB2_HUMAN	sp|P24869|CG22_YEAST	44.074	270	2.05e-65	214.0
sp|O95104|SCAF4_HUMAN	sp|P53617|NRD1_YEAST	22.807	228	2.26e-08	56.2
sp|O95147|DUS14_HUMAN	sp|P40479|SDP1_YEAST	40.23	87	1.06e-17	75.9
